duiduan 兑端
dujuanhuaye 杜鹃花叶
dumai 督脉
duntong 钝痛
duohan 多汗
duomei 多寐
duqiwan 都气丸
duyin 独阴
duyongshangjiaozheng 毒壅上焦证
duyu 督俞
duzhong 杜仲
duzhongpi 杜仲皮
duzhongye 杜仲叶
ebushicao 鹅不食草
ehe 恶核
ejiao 阿胶
ejiaojizihuangtang 阿胶鸡子黄汤
eni 呃逆
enibing 呃逆病
erbai 二白
erbiantiao 二便调
erbihoukezhenghou 耳鼻喉科证候
ercha 儿茶
erchentang 二陈汤
erheliao 耳和髎
erjian 耳尖 二间
erkezhenghou 儿科证候
erlong 耳聋
ermen 耳门
ermiaosan 二妙散
erming 耳鸣
erxiantang 二仙汤
erzhiwan 二至丸
ezhu 莪术
ezhuyou 莪术油
fabanxia 法半夏
fali 乏力
famuwan 伐木丸
fangfeng 防风
fangfengtongshengsan 防风通圣散
fangji 防己
fangjifulingtang 防己茯苓汤
fangjifulingwan 防己茯苓丸
fangjihuangqitang 防己黄芪汤
fangjijiaomutinglidahuangwan 防己椒目葶苈大黄丸
fangyi 防已
fanhonghua 番红花
fansuan 反酸
fanxieye 番泻叶
fare 发热
faxia 法夏
fayuan 乏源
feiai 肺癌
feierwan 肥儿丸
feiganhouni 肥甘厚腻
feijingyurefanbizheng 肺经郁热犯鼻证
feijue 肺厥
feike 肺咳
feilao 肺痨
feiliancao 飞廉草
feiluozhang 肺络张
feipangbing 肥胖病
feipishenyangxuzheng 肺脾肾阳虚证
feiqi 肥气
feiqishuaijiezheng 肺气衰竭证
feiqixubisaizheng 肺气虚鼻塞证
feiqixuzheng 肺气虚证
feiqiyinliangxuzheng 肺气阴两虚证
feirebing 肺热病
feishenyinxuzheng 肺肾阴虚证
feishuai 肺衰
feishui 肺水
feiwei 肺痿 肺萎
feixibinglei 肺系病类
feixinbing 肺心病
feixingcao 肺形草
feiyang 飞扬
feiyangcao 飞杨草
feiyangxuzheng 肺阳虚证
feiyinxuzheng 肺阴虚证
feiyong 肺痈
feiyu 肺俞
feizhang 肺胀
feizi 榧子
fenbiehuanji 分别缓急
fenbixie 粉萆薢
fengbi 风痹
fengchi 风池
fengegen 粉葛根
fengfang 蜂房
fengfei 风痱
fengfu 风府
fengguan 风关
fenghanfanfeizheng 风寒犯肺证
fenghanxihouzheng 风寒袭喉证
fenghuangyi 凤凰衣
fengjue 风厥
fengla 蜂蜡
fenglong 丰隆
fenglun 风轮
fenglunreduzheng 风轮热毒证
fenglunshirezheng 风轮湿热证
fengmen 风门
fengmi 蜂蜜
fengrefanfeibixibulizheng 风热犯肺鼻息不利证
fengrefanhouzheng 风热犯喉证
fengrexifeizheng 风热袭肺证
fengshi 风湿 风市
fengshui 风水
fengtanzheng 风痰证
fengweicao 凤尾草
fengxianhua 凤仙花
fengxie 风邪
fengxieredufanerzheng 风邪热毒犯耳证
fengxuan 风眩
fengzhen 风疹
fenlishire 分利湿热
fentiaoercai 粉条儿菜
fojiacao 佛甲草
foshou 佛手
fuai 腹哀
fubai 浮白
fufangdachaihutang 复方大柴胡汤
fufangdachengqitang 复方大承气汤
fufen 附分
fuhaishi 浮海石
fuhuan 浮缓
fujie 腹结
fujue 趺厥 趺蹶
fukezhenghou 妇科证候
fuliang 伏梁
fuling 茯苓
fulingpi 茯苓皮
fulingsinitang 茯苓四逆汤
fulingwan 茯苓丸
fuliu 复溜
fulonggan 伏龙肝
fumai 伏脉 浮脉
fumaitang 复脉汤
fuman 腹满
fupenzi 覆盆子 复盆子
fuping 浮萍
fuqie 浮郄
furen 妇人
furongye 芙蓉叶
fushe 府舍
fushen 茯神
fushi 浮石 复视
fushui 腹水
fushuo 浮数
futong 腹痛
futonggu 腹通谷
futu 伏兔 扶突
futudan 茯菟丹
fuxiaomai 浮小麦
fuya 腹压
fuyang 跗阳
fuyuanhuoxuetang 复元活血汤
fuzhengjiebiao 扶正解表
fuzhengquxie 扶正祛邪
fuzi 附子
fuzilizhongwan 附子理中丸
fuzitang 附子汤
fuzixiexintang 附子泻心汤
ganai 肝癌
gananxiang 伽楠香
gancao 甘草
gancaoganjiangfulingbaizhutang 甘草干姜茯苓白术汤
gancaoganjiangtang 甘草干姜汤
gancaotang 甘草汤
gancaoxiaomaidazaotang 甘草小麦大枣汤
gancaoxiexintang 甘草泻心汤
gandan 肝瘅
gandanshirefanerzheng 肝胆湿热犯耳证
gandanshirezheng 肝胆湿热证
ganfengneidongzheng 肝风内动证
gangbangui 杠板归
gangjing 刚痉
gangmei 岗梅
gangsong 岗松
ganhuofanfeizheng 肝火犯肺证
ganhuoshangyanzheng 肝火上炎证
ganji 肝积
ganjiang 干姜
ganjiangfuzitang 干姜附子汤
ganjianglingshutang 甘姜苓术汤
ganjiangrenshenbanxiawan 干姜人参半夏丸
ganjiaoqi 干脚气
ganjingshirezheng 肝经湿热证
ganjue 肝厥
ganlao 肝痨
ganliangrurun 甘凉濡润
ganliu 肝瘤
ganluoyin 干啰音
ganluxiaodudan 甘露消毒丹
ganluxiaodudanpujijiedudan 甘露消毒丹普济解毒丹
ganmaidazaotang 甘麦大枣汤
ganmaizaizaotang 甘麦在枣汤
ganmao 感冒
ganpi 肝癖
ganpibutiaozheng 肝脾不调证
ganqi 干漆
ganqiyujiezheng 肝气郁结证
ganrebing 肝热病
ganshenyinxuzheng 肝肾阴虚证
gansong 甘松
gansui 甘遂
ganweibuhezheng 肝胃不和证
ganwen 肝瘟
ganxibinglei 肝系病类
ganxietong 干胁痛
ganxuelao 干血劳
ganxuexuzheng 肝血虚证
ganxueyuzhizheng 肝血瘀滞证
ganyangshangkangzheng 肝阳上亢证
ganyangxuzheng 肝阳虚证
ganyinxuzheng 肝阴虚证
ganyong 肝痈
ganyu 肝俞
ganzaobing 干燥病
ganzhe 肝着
ganzhu 肝著
gaoben 藁本
gaohuangyu 膏肓俞
gaoliangjiang 高良姜
gaoyuanxiongbi 高原胸痹
gegen 葛根
gegenhuangqinhuangliantang 葛根黄芩黄连汤
gegenjiabanxiatang 葛根加半夏汤
gegentang 葛根汤
geguan 膈关
gehua 葛花
gejie 蛤蚧
geke 蛤壳
gemai 革脉
gengtongcao 梗通草
gengyiwan 更衣丸
gerenshi 个人史
geshan 膈疝
gexiazhuyutang 膈下逐瘀汤
geyu 膈俞
gongbujianshi 攻补兼施
gonglaomu 功劳木
gongsun 公孙
gongwaiyunfang 宫外孕方
gongxialengji 攻下冷积
gongxiazhuyu 攻下逐瘀
goubao 狗宝
gougancao 狗肝草
gouguye 枸骨叶
gouji 狗脊
